Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	5	14	46149	45078	44708	45054	46634	47588	51799	57496	61672	63951	64791	66204	65782	64287	62712	61963	61168	61790	62171	61512	59602	59139	56775	51810
2014	5	15	48088	46417	46039	45685	46422	46640	47878	50720	55291	58878	60573	61864	61586	59707	57827	56756	56372	57505	58632	58410	56286	56047	55011	50634
2014	5	16	46855	45313	45133	46017	46422	45597	44164	45431	47618	50182	52494	55240	55071	53709	52125	50974	50709	51779	53207	53129	51920	53349	54491	50049
2014	5	17	46739	46276	46232	46870	48449	50996	58618	65839	68827	69174	70033	71673	71701	71314	69776	68468	67470	67226	67769	67760	65918	64987	62335	56055
2014	5	18	51527	50298	50269	50817	52628	54898	61124	67228	70066	70379	72042	73960	73455	73112	71593	69404	68216	67896	67904	67670	65984	65664	63265	58265
2014	5	19	54504	53629	53281	54032	54939	56711	63023	69389	72549	73285	74797	76415	75601	75162	72692	71239	69945	69855	70058	69179	66785	65370	62462	56855
2014	5	20	52822	51368	50780	51146	52244	54258	61249	68189	71575	72050	72989	74459	73938	73079	71908	70446	68756	68335	68189	67494	65569	64241	62066	56289
2014	5	21	51947	50335	50142	50897	52129	54140	60313	66669	69604	69681	70165	70528	69241	67542	65691	64346	63213	63346	63384	63191	61346	60439	58451	53611
2014	5	22	49425	47119	46072	46590	47230	46779	46938	49778	53391	55256	55828	56054	54389	51987	49811	48852	48710	50308	51998	52485	50999	50760	50212	46368
2014	5	23	43475	42100	41361	40798	40674	39960	39516	40631	43420	44518	45488	47156	45955	43820	42376	41708	42180	44616	46799	47737	47417	48104	48496	45347
2014	5	24	41911	40199	39834	39862	40297	39978	40132	41391	42992	44374	45880	47741	47292	45597	44438	43993	44733	47139	48630	49908	49645	50481	51187	47538
2014	5	25	44242	43051	43355	43601	44987	47322	54853	62681	66455	67647	68761	70135	69656	69067	68229	67702	66022	65886	66136	65422	62873	61724	59580	54417
2014	5	26	50017	48985	48337	48356	49442	51819	58954	66180	69798	70559	71904	73432	72577	71726	70142	68781	67431	67553	68278	67472	64904	63418	59839	53671
2014	5	27	50738	49827	49050	49405	50538	52827	59949	66753	70119	71079	71872	72753	71583	70331	68842	67967	66201	66310	66659	66537	64597	63224	59992	54175
2014	5	28	50540	49792	48938	49173	50625	52389	58800	65548	68869	68759	69550	70331	69308	67817	65839	64941	63767	64101	64100	63390	60958	59206	57854	53293
2014	5	29	49172	47465	46758	47333	47898	47604	47567	49737	53205	55207	56007	56394	54529	52177	50452	49801	49870	51459	52961	53545	52146	51757	51316	48303
2014	5	30	45977	43644	42768	42270	42043	41519	41870	42785	45007	47390	49730	52547	52198	50223	48744	48188	48232	49872	52218	52905	52179	52985	53023	49322
2014	5	31	46206	45071	45682	46414	48226	50760	58384	64492	68526	70032	71709	73143	72154	71782	70507	69447	68375	68337	68340	67639	65172	63203	60620	55840
2014	6	1	55993	53745	52988	53534	54858	56402	63544	70936	74247	74872	75835	76553	74956	73845	73077	72538	70909	71572	71639	70836	68596	66731	63640	57977
2014	6	2	54853	52780	51609	51840	53425	56578	63803	70639	74391	75112	76452	78008	77346	76638	75229	74337	72926	72160	71404	70317	67692	65174	63107	59167
2014	6	3	55118	53026	51781	51635	51971	51334	51855	54510	57487	59483	61752	63838	63452	61629	59890	58448	57522	58425	59541	59540	58677	57895	58058	53876
2014	6	4	50578	48272	47103	47108	48660	51284	56893	62882	65838	66794	67980	69025	67725	65719	64152	62912	62460	62845	63101	62646	60560	59507	58901	54442
2014	6	5	50179	47667	46648	46991	46859	46653	49004	52401	56144	58515	60054	60406	58596	56246	54749	53771	53649	54471	55573	55587	53472	52809	53463	49905
2014	6	6	46702	44294	43149	42527	42248	41354	42489	45355	48251	50340	52061	53828	53187	51282	49854	49557	50137	52741	55492	56370	55576	55406	55924	51381
2014	6	7	48476	47809	46547	47003	48305	51368	60823	69099	74217	77021	78929	81152	80081	79059	77174	75566	73541	71780	71267	70165	67297	64719	62587	57101
2014	6	8	53406	51510	50696	50903	52213	54895	63004	70824	74405	75079	76163	77470	76593	76299	75844	74639	72959	72673	72234	70954	68250	66448	63891	58353
2014	6	9	54942	52601	51414	51351	52292	55274	64530	71972	75259	75635	77017	78320	77766	77701	76570	75159	73448	72634	72440	71583	68784	66521	64347	58947
2014	6	10	55298	53249	52208	52155	53190	56107	65018	72424	76083	76590	77625	78907	77999	77734	76906	75823	74379	73616	73096	72347	69548	67452	65969	60685
2014	6	11	56459	53870	53078	53424	54808	56801	64224	71758	75934	77110	78580	79596	77589	76464	74808	74511	73602	73613	72595	70679	67381	65565	64791	59778
2014	6	12	55520	52330	50626	49779	49597	49193	51688	55348	59992	64156	66579	66835	65464	63285	60862	59307	58665	59463	60121	59135	56385	54914	54818	51271
2014	6	13	47258	45691	45074	44898	44811	43796	44142	46614	49850	53132	55474	57579	56701	54666	53068	51815	51656	53135	54959	54965	53476	52890	54413	51067
2014	6	14	48235	47160	47164	47495	48863	51310	60816	68728	72566	73927	75243	75815	74756	73945	72853	71060	68488	68547	69851	69405	66847	64513	62471	56790
2014	6	15	53761	52342	51125	51316	52248	54027	62180	69853	73758	74914	75890	76219	74420	73682	72303	70916	69526	69429	69292	68849	66534	64146	62018	57314
2014	6	16	53660	52018	51235	51407	52142	54420	62507	69348	72570	72847	74020	75909	75329	74921	74030	73212	71180	70696	70331	69788	67372	64890	62965	58265
2014	6	17	54777	53324	52184	52455	53551	55304	63584	70580	73859	74452	76109	77811	77123	76389	75262	74354	72750	72358	71795	70702	68103	65392	63879	58376
2014	6	18	54414	53154	52983	53128	53981	55864	63239	70288	73905	75068	76298	77695	76317	71879	68912	68269	69925	69832	69519	68326	65774	63375	61467	56677
2014	6	19	52606	50731	50552	50018	49947	49702	50763	53913	58644	62462	64381	65443	64291	62190	60784	59142	58493	59253	59667	59074	56247	54316	53917	49984
2014	6	20	46685	44662	43700	44436	44259	43364	43807	45063	48159	51509	54309	57415	57296	55048	52836	51927	52177	53326	55573	55667	54796	54447	55346	51257
2014	6	21	48971	48157	47852	48051	50093	53227	62114	69885	73465	73971	75355	77080	76718	75470	73830	72538	70800	70308	70051	69348	66919	64517	62777	57100
